Reference	ID	Tags	OrigWords	Occurrence	TWLink	selections	comments	bookmarks	verseEdits	invalidated
1:15	unp8	kt	συνείδησις	1	rc://*/tw/dict/bible/kt/conscience			0	0	0
1:15	gpvr	kt	καθαρὰ	1	rc://*/tw/dict/bible/kt/purify			0	0	0
1:15	hr5s	kt	καθαροῖς	1	rc://*/tw/dict/bible/kt/purify			0	0	0
1:15	vg9y	kt	καθαρόν	1	rc://*/tw/dict/bible/kt/purify			0	0	0
1:15	mn4k	other	μεμιαμμένοις	1	rc://*/tw/dict/bible/other/corrupt			0	0	0
1:15	nvgm	other	μεμίανται	1	rc://*/tw/dict/bible/other/corrupt			0	0	0
1:15	qzbf	other	νοῦς	1	rc://*/tw/dict/bible/other/mind			0	0	0
1:16	rjjt	kt	Θεὸν	1	rc://*/tw/dict/bible/kt/god			0	0	0
1:16	yxnn	kt	ἀγαθὸν	1	rc://*/tw/dict/bible/kt/good			0	0	0
1:16	frhh	other	βδελυκτοὶ	1	rc://*/tw/dict/bible/other/detestable			0	0	0
1:16	napb	other	εἰδέναι	1	rc://*/tw/dict/bible/other/know			0	0	0
2:1	gjgw	other	διδασκαλίᾳ	1	rc://*/tw/dict/bible/other/doctrine			0	0	0
2:2	skyq	kt	πίστει	1	rc://*/tw/dict/bible/kt/faith			0	0	0
2:2	pr7x	kt	ἀγάπῃ	1	rc://*/tw/dict/bible/kt/love			0	0	0
2:2	y4e7	other	πρεσβύτας	1	rc://*/tw/dict/bible/other/elder			0	0	0
2:2	zvdw	other	ὑπομονῇ	1	rc://*/tw/dict/bible/other/perseverance			0	0	0
2:3	khhe	other	δεδουλωμένας	1	rc://*/tw/dict/bible/other/enslave			0	0	0
2:3	d8ve	other	ὡσαύτως	1	rc://*/tw/dict/bible/other/like			0	0	0
2:3	qkdt	other	ἱεροπρεπεῖς	1	rc://*/tw/dict/bible/other/reverence			0	0	0
2:3	cz4m	other	διαβόλους	1	rc://*/tw/dict/bible/other/slander			0	0	0
2:3	jfdu	other	οἴνῳ	1	rc://*/tw/dict/bible/other/wine			0	0	0
2:4	q8p8	kt	φιλάνδρους	1	rc://*/tw/dict/bible/kt/love			0	0	0
2:4	m7kb	kt	φιλοτέκνους	1	rc://*/tw/dict/bible/kt/love			0	0	0
2:5	mguz	kt	ἀγαθάς	1	rc://*/tw/dict/bible/kt/good			0	0	0
2:5	j8nj	kt	ἁγνάς	1	rc://*/tw/dict/bible/kt/purify			0	0	0
2:5	ub8v	kt	λόγος τοῦ Θεοῦ	1	rc://*/tw/dict/bible/kt/wordofgod			0	0	0
2:5	z2h3	other	σώφρονας	1	rc://*/tw/dict/bible/other/selfcontrol			0	0	0
2:5	rhfd	other	βλασφημῆται	1	rc://*/tw/dict/bible/other/slander			0	0	0
2:5	xd42	other	ὑποτασσομένας	1	rc://*/tw/dict/bible/other/subject			0	0	0
2:6	j7r6	kt	παρακάλει	1	rc://*/tw/dict/bible/kt/exhort			0	0	0
